lAboutText1	~1~ ~2~ (~3~ bits)
lDialogFavoriteSelectType	Selecteer het type favoriet om toe te voegen`n`nIn het volgende scherm kunt u het volgende definieren:`n- Naam`n- Inhoud (afhankelijk van het geselecteerde type)`n- Instellingen (zoals pictogram, sneltoets, etc.)`n`nKies uw gewenste favorietentype en druk op "~1~".
lDialogFavoriteShortNameLabel	Afkortingsnaam voor dit menu
lDialogFavoriteSnippetEmpty	Er is geen inhoud beschikbaar voor dit fragment, voer alstublieft inhoud in.
lDialogFavoriteSnippetFixedFont	Vaste breedte voor het lettertype
lDialogFavoriteSnippetFontSize	Grootte voor lettertype
lDialogFavoriteSnippetHelpNoProcess	Gebruik ``n voor het einde van de zin, en ''t voor een tab. Gebruik ```` (dubbele  accent grave) voor een accent grave.
lDialogFavoriteSnippetHelpProcess	Gebruik "Ctrl-Tab" om tabs in te voegen en "Enter" voor een nieuwe regel
lDialogFavoriteSnippetHelpWeb	Navigeer naar <a href="~1~">Hulp voor fragmenten</a> voor speciale karakters en commando's.
lDialogFavoriteSnippetProcessEOLTab	Configureer Einde-van-de-Zin en Tabs automatisch
lDialogFavoriteSnippetPromptLabel	Prompt voor ~1~ het fragment
lDialogFavoriteSnippetPromptLabelLaunching	Starten
lDialogFavoriteSnippetPromptLabelPasting	plakken
lDialogFavoriteSnippetPromptNoPipe	Het karakter: "Verticale lijn: |" kan niet worden gebruikt in een fragment prompt.
lDialogFavoriteSnippetSendMode	Kopieër het fragment naar de huidige applicatie in:
lDialogFavoriteSnippetSendModeMacro	Macro modus
lDialogFavoriteSnippetSendModeText	Tekst modus
lDialogFavoritesParentMenuMove	Verplaats ~1~ favoriet naar dit menu
lDialogFavoriteType	Favoriet type
lDialogFavoriteTypesHelp1	Creër een snelkoppeling naar de veel gebruikte "map".`n`nConfigureer de naam van het favoriet, pad en de verschillende menu opties.`n`nLive map opties zorgen voor een automatisch aanpasbaar menu aan de hand van de aangepaste mapstuctuur op het station.`n`nGeavanceerde Opties zorgen o.a. voor de selectie van bestandsbeheerders en locatie van het venster op het scherm.
lDialogFavoriteTypesHelp13	Creër een "fragment".`n`nConfigureer het fragment's titel voor het menu, zijn inhoud en de verschillende menu opties.`n`nIn Geavanceerde Opties kunt u aangeven of u gebruik wilt maken van de "Tekst Modus", welke toestaat om normale stukken tekst te plakken zoals u doet met het klembord óf kies voor "Macro Modus" om toetsaanslagen te typen inclusief "speciale toetsen" (zie help).
lDialogFavoriteTypesHelp14	Creër een "Openbaar menu" om op verschillende computers favorieten te delen vanuit een op het netwerk opgeslagen instellingenbestand.`n`nOpenbare menu's kunnen als "Persoonlijk", "In teamverband" of in "Gecentraliseerd" worden geconfigureerd. Een catalogus kan ingesteld worden om de verschillende opties voor het "Openbaar menu" op te slaan, deze vindt u in "Opties" -> "Algemeen".`n`nOpenbare menu's kunnen als standaard favorieten worden bewerkt. Alleen geselecteerde gebruikers met de juiste rechten mogen een "Gecentraliseerd" menu aanpassen (zie help of FAQ).
lDialogFavoriteTypesHelp2	Creër een snelkoppeling naar een "Document".`n`nConfigureer de naam van het favoriet, pad en de verschillende menu opties.`n`nGeavanceerde Opties zorgen o.a. voor de selectie van de gebruikte applicatie, optionele instellingen en de locatie van het venster op het scherm.
lDialogFavoriteTypesHelp3	Creër een snelkoppeling naar een "Applicatie" (programma, batch of script).`n`nBlader voor het executable bestand of selecteer een van de al uitgevoerde programma's.`n`nConfigureer de naam van het favoriet, pad en de verschillende menu opties.`n`nGeavanceerde Opties zorgen o.a. voor de selectie van een "Start in" map, voeg parameters toe en de locatie van het venster op het scherm.
lDialogFavoriteTypesHelp4	Creër een snelkoppeling naar een van de 50 voorgedefineërde Windows Speciale mappen zoals Bibliotheken, Mijn afbeeldingen, Prullenbak, Downloads, etc.`n`nConfigureer de naam van het favoriet en de verschillende menu opties.`n`nGeavanceerde Opties zorgen o.a. voor de selectie van de bestandsbeheerder, optionele instellingen en de locatie van het venster op het scherm.
lDialogFavoriteTypesHelp5	Creër een "Link" naar een website.`n`nConfigureer de naam van het favoriet, website's adres (URL) en de verschillende opties.`n`nGeavanceerde Opties laten u de webbrowser selecteren waar de link wordt gestart, en de locatie van het venster op het scherm.
lDialogFavoriteTypesHelp6	Creër een link naar een "FTP site".`n`nConfigureer de naam van het favoriet, FTP-adres (URL), loginnaam, wachtwoord en de verschillende opties.`n`nGeavanceerde Opties laten u de FTP-Client selecteren waarin de FTP-link wordt gestart, optionele parameters, en de locatie van het venster op het scherm.`n`nNB. Wachtwoorden worden NIET versleuteld over het internet verstuurd!
lDialogFavoriteTypesHelp7	Voeg "Quick Access Popup Functies" overal toe in het menu zoals:`n`n- ~1~`n- ~2~`n- ~3~`n- ~4~`n- ~5~`n- etc.
lDialogFavoriteTypesHelp8	Verzamel gerelateerde favorieten in een "Submenu". 'n'nGeef uw submenu een naam en select menu opties.`n`nVoeg favorieten toe aan uw submenu of verplaats deze van andere submenu's of groepen door middel van de "Wijzigen" knop.
lDialogFavoriteTypesHelp9	Voer een "groep" van favoreiten uit, allen in 1 enkele snelkoppeling!1n1nGeef uw groep een naam en configureer de verschillende opties voor uw groep.`n`nVoeg favorieten toe aan uw groep of verplaats deze van andere submenu's of groepen door middel van de "Wijzigen" knop.`n`nIn Geavanceerde Opties kunt u bijvoorbeeld bepalen wat de tijd tussen het starten van de verschillende favorieten dient te worden.
lDialogFavoriteTypesLabels	&Map|&Document|&Applicatie|&Speciale Map|&Link|F&TP Site|&QAP Feature|Sub&menu|&Groep||||&Fragment|&Openbaar Menu
lDialogFavoriteTypesLocationLabels	Map (pad)|Document (pad en bestandsnaam)|Applicatie (pad en bestandsnaam)||Link (website)|FTP Site (website)|||||||Inhoud|Extern instellingenbestand (pad)|
lDialogFavoriteTypesShortNames	Map|Doc|App|Speciaal|Link|FTP|QAP|Menu|Groep|scheiding|Kolomeindes|..|Fragment|Openbaar
lDialogFavoriteWorkingDirNotFoundPrompt	De geavanceerde functie "Start in" van favoriet "~1~" is niet gevonden:`n~2~
lDialogFavoriteWorkingDirNotFoundTitle	"Start in" parameter niet gevonden - ~1~
lDialogFileLabel	Document
lDialogFolderLabel	Map
lDialogFoldersPlaceholders	Accolades {HUIDIG_LOC} kan gebruikt worden om de locatie toe te voegen waar deze favoriet wordt gestart
lDialogGetWinInfo	Klik in het doelvenster met de QAP-menusneltoets [~1~] om de titel en klasse van het venster te identificeren.
lDialogGetWInInfo2Clippoard	Venstertitel: `n"~1~"`n`nKlasse:`n"~2~"`n`nDeze informatie naar het klembord kopiëren?
lDialogHotkeyInvisibleKeys	<a id="~1~">Spatiebalk</a>, <a id="~2~">tab</a>, <a id="~3~">enter</a>, <a id="~4~">escape</a>`nof <a id="~5~">menu toets (applicatie)</a>
lDialogHotkeys	Sneltoetsen
lDialogHotkeysManageAbout	Sneltoetsen welke momenteel actief zijn in ~1~
lDialogHotkeysManageAlternative	Alternatief
lDialogHotkeysManageAlternativeMenu	Alternatief menu
lDialogHotkeysManageIntro	Dubbelklik op een favoriet om de sneltoets aan de passen.
lDialogHotkeysManageListHeader	Menu|Naam van favoriet|Type|Sneltoets|Locatie van favoriet
lDialogHotkeysManageListSeeAllFavorites	Alle favorieten weergeven
lDialogHotkeysManageListSeeShortHotkeyNames	Verkorte sneltoetsnamen weergeven
lDialogHotkeysManagePopup	Popup
lDialogHotkeysManageTitle	Sneltoetsen beheren - ~1~ ~2~
lDialogIcon	Pictogram
lDialogIconsManage	Pictogrammen
lDialogIconsManageAbout	Selecteer een nieuw pictogram voor het gewenste favoriet, of herstel het standaardpictogram. Vergeet niet om de wijzigingen op te slaan in het instellingenmenu.
lDialogIconsManageCurrent	Huidig pictogram
lDialogIconsManageDefault	Standaard pictogram
lDialogIconsManageFavoriteName	Naam van pictogram
lDialogIconsManageNext	&Volgende
lDialogIconsManageParentMenu	Favoriete hoofdmenu
lDialogIconsManagePrevious	&Terug
lDialogIconsManageSetDefaultIcon	Stel standaard pictogram in
lDialogIconsManageTitle	Beheer pictogrammen - ~1~ ~2~
lDialogInvalidHotkey	Met de huidige toetsenbordindeling kan de sneltoets "~1~" niet gebruikt worden als commando voor het popup-menu.`n`nGelieve het instellingenmenu te openen vanuit de taakbalk en klik op "Instellingen". Selecteer hier een andere sneltoets voor "~2~".
lDialogInvalidHotkeyFavorite	Met de huidige toetsenbordindeling kan de sneltoets "~1~" niet gebruikt worden als snelkoppeling naar het favoriet "~2~".`n`nGelieve het instellingenmenu te openen vanuit de taakbalk en klik op "Instellingen". Selecteer hier een andere sneltoets voor "~2~" en zijn locatie "~3~".
lDialogInvalidHotkeyQAPFeature	Met de huidige toetsenbordindeling kan de sneltoets "~1~" niet gebruikt worden als commando voor deze QAP-feature (geen geldige toetsnaam).`n`nGelieve een andere sneltoets te kiezen voor QAP-feature ~2~.
lDialogKeyboard	Toetsenbord
lDialogLaunchWith	Starten met deze applicatie
lDialogMaximized	Maximaliseren
lDialogMenuKey	Menu toets
lDialogMenuNotMoveUnderItself	Menu "~1~" kan niet onder zichzelf geplaatst worden
lDialogMinimized	Minimaliseren
lDialogMouse	Muis
lDialogMouseButtonsText	Linkse muistoets|Middelste muistoets|Rechtse muistoets|Speciale muistoets 1|Speciale muistoets 2|Scrollwiel op|Scrollwiel neer|Scrollwiel links|Scrollwiel rechts|
lDialogMoveFavoritesTitle	Favoriet verplaatsen - ~1~ ~2~
lDialogNone	Geen
lDialogNormal	Normaal
lDialogOff	Uit
lDialogOK	OK
lDialogOKAmpersand	&OK
lDialogOn	Aan
lDialogOpenThisGroup	Open deze groep
lDialogOpenThisMenu	Open dit menu
lDialogOr	of
lDialogOtherHotkeys	Andere sneltoetsen voor het hoofdmenu
lDialogReadOnly	Alleen lezen
lDialogRemoveMultipleFavorites	Wilt u ~1~ favoriet of submenu verwijderen?
lDialogSearch	Zoeken
lDialogSelectIcon	Selecteer pictogram
lDialogSelectItemToAdd	Selecteer het item om toe te voegen
lDialogSelectItemToEdit	Selecteer het te bewerken item alstublieft.
lDialogSelectItemToMove	Selecteer het te verplaatsen item alstublieft.
lDialogSelectItemToRemove	Selecteer het te verwijderen item alstublieft.
lDialogSettingsInvalid	Het instellingenbestand is onjuist!`n`nZorg ervoor dat het bestand de secties ~1~ en ~2~ bevat.`n`nBestand: ~3~
lDialogSettingsNotSavedPrompt	Het instellingenvenster is open met onopgeslagen wijzigingen. Deze wijzigingen dienen te worden opgeslagen of geannuleerd alvorens de gevraagde actie uit te voeren.`n`nWilt u:`n"Opslaan": De wijzigingen zullen worden opgeslagen en de actie zal worden uitgevoerd.`n"Instellingen": Annuleer de gevraagde actie en ga terug naar het instellingenmenu.`n"Annuleren": Alleen de gevraagde actie annuleren?
lDialogSettingsNotSavedTitle	~1~ - instellingen niet opgeslagen
lDialogShift	Shift
lDialogShortcut	Snelkoppeling
lDialogState	Vensterstatus:
lDialogSubmenuNameEmpty	Voor dit submenu is geen naam geselecteerd, selecteer een naam...
lDialogSubmenuParentMenu	Submenu hoofdmenu
lDialogSwitchSettings	Selecteer het instellingenbestand om te gebruiken
lDialogSwitchSettingsCancel	Het schakelen tussen instellingenbestanden is geannuleerd...`n`nHet huidige instellingen-bestand is: ~1~
lDialogSwitchSettingsReady	Herlaad ~2~ met het nieuwe instellingenbestand:`n`n~1~
lDialogTabNext	Volgende
lDialogThirdPartyDetected	~1~ heeft gedetecteerd dat ~2~ is geinstlleerd op uw computer, wilt u de integratieoptie met ~2~ inschakelen?
lDialogTriggerFor	Trigger voor:
lDialogUseDefaultWindowPosition	Gebruik de standaard vensterpositie
lDialogWin	Windows
lDialogWindowPosition	Vensterpositie:
lDialogWindowPositionDelay	Vertraging
lDialogWindowPositionH	Hoogte
lDialogWindowPositionLeft	Links
lDialogWindowPositionMayFail	nb: Om verschillende redenen kan QAP falen in het verplaatsen of herschalen van sommige vensters.
lDialogWindowPositionRight	Rechts
lDialogWindowPositionW	Breedte
lDialogWindowPositionX	Links
lDialogWindowPositionY	Top
lDialogWindowsFolderIconCreate	maken
lDialogWindowsFolderIconNoRoot	Het Windows-map pictogram kan niet ingesteld worden in het stations hoofdmap.
lDialogWindowsFolderIconPrompt	Dit commando zal het systeembestand ~1~:`n~2~`n`nHet pictogram van de map: "Windows" zal aangepast worden door het huidig geselecteerde pictogram. Wilt u doorgaan?
lDialogWindowsFolderIconPrompt2	nb: Het kan ongeveer 10-15 seconden tot 1 minuut duren totdat Windows het nieuwe pictogram weergeeft.
lDialogWindowsFolderIconRemove	Verwijder het Windows-map pictogram
lDialogWindowsFolderIconRemoveFile	Dit commando kan ook het systeembestand verwijderen en de map herstellen naar de standaardinstellingen:`n~1~`n`nWilt u het systeembestand verwijderen?
lDialogWindowsFolderIconReset	Het pictogram zal worden gereset naar het standaard pictogram.`n`nWilt u doorgaan?
lDialogWindowsFolderIconSet	Stel het Windowsmap pictogram in
lDialogWindowsFolderIconUpdate	update
lDialogWinShort	Win
lDialogWorkingDirLabel	Start in
lDonateButtonAmpersand	Steun &Freeware!
lDonateCheckPrompt	Bent u tevreden over ~1~?`n`n~1~ is niet alleen GRATIS maar bevat ook GEEN vervelende reclame of adware (waarvan nooit zeker is of deze geen spyware of malware bevatten)`n`nTot nog toe heeft ~1~ u ~2~ maal geassisteerd om tijd te besparen tijdens de dagelijkse werkzaamheden. Zou u ~1~ willen steunen?
lDonateCheckPrompt2	nb: Gebruikers die een donatie geven krijgen een code om het ~1~ te donatiealertsysteem te deactiveren.
lDonateCheckPrompt3	dit bericht weergeven
lDonateCheckPrompt4	Donatie herinneringen weergeven
lDonateCheckTitle	~1~ keer! - ~2~
lDonateMenu	Steun Freeware!
lDonatePlatformComment1	Doneer met een Kredietkaart (een account is niet nodig) of uw Paypal account.
lDonatePlatformComment2	Voor Europese donors
lDonatePlatformComment3	Voor Canadese donors
lDonatePlatformName1	Gebruik Paypal in US $
lDonatePlatformName2	Gebruik Paypal in Euros
lDonatePlatformName3	Gebruik Paypal in CAD $
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Steun Freeware ontwikkeling!
lDonateText2	<a href="~1~">Waarom ~1~ steunen?</a>
lDonateText3	of... steun freeware gratis!
lDonateText4	Geef een positieve review over ~1~ op:
lDonateText5	Stuur mij uw link
lDonateThankyou	Dank u voor het steunen van QAP!
lDonateTitle	Steun freeware! - ~1~ ~2~
lGuiAbout	Over
lGuiAddFavorite	Toevoegen
lGuiCancel	Annuleren
lGuiCancelAmpersand	&Annuleren
lGuiClose	Sluiten
lGuiCloseAmpersand	&Sluiten
lGuiDonate	Doneer
lGuiDropFilesHelp	Hulp voor Slepen && Neerzetten
lGuiDropFilesIncentive	U kunt de volgende type favorieten Slepen & Neerzetten naar het ~1~ venster:`n`n`t- ~2~`n`t- ~3~`n`t- ~4~
lGuiDropFilesIncentive2	Om u te helpen met het verplaatsen van 1 of meerdere bestanden, kunt u het Instellingen venster altijd op de voorgrond laten weergeven door "altijd op de voorgrond weergeven" te selecteren door op de pin-pictogram te klikken links in het venster.
lGuiEditFavorite	Wijzigen
lGuiGroupClosing	Windows Explorer sluiten
lGuiGroupRestoreDelay	Herstelvertraging tussen favorieten:
lGuiGroupRestoreDelayMilliseconds	milliseconde
lGuiGroupRestoreSide	Aan welke zijde van ~1~ weergeven?
lGuiGroupSaveAddWindowsLabel	Aan bestaande venster toevoegen
