lAboutText1	~1~ ~2~ (~3~ bits)
lContextAddFolderXpress	Ajouter ce dossier au menu Quick Access Popup (Express)
lContextAddShortcut	Importer le Raccourci Windows dans le menu Quick Access Popup
lContextShowMenu	Afficher le menu de Quick Access Popup
lContextShowMenuAternative	Afficher le menu Alternatif de Quick Access Popup
lCopyLocationCopiedToClipboard	Emplacement copié dans le Presse-papiers
lDiagModeCaution	~1~ roule en mode de diagnostique.`n`nDes renseignements à propos de l'exécution de cette application seront colligées dans le fichier:`n~2~`n`nAucune information ne sera transmise sans votre consentement.`n`nVoulez-vous rester en mode diagnostique?
lDiagModeExit	~1~ a colligé des renseignements à des fins de diagnostique dans le fichier ~2~.
lDiagModeIntro	Envoyez ce fichier à ahk@jeanlalonde.ca avec une description de la situation nécessitant un diasnostique.
lDiagModeSee	Voulez-vous consulter le fichier de diagnostique?
lDialogActivateAlreadyRunning	Si l'application est déjà lancée, l'activer au lieu de la relancer`n(l'application doit avoir exactement le même emplacement)
lDialogAdd	Ajouter
lDialogAddAmpersand	&Ajouter
lDialogAddEditFavoriteTitle	~1~ un favori - ~2~ ~3~
lDialogAddFavoriteSelectTitle	Ajouter un favori - ~1~ ~2~
lDialogAddFavoriteTabs	Réglages de base|Options du menu|Options de fenêtres|Réglages avancés
lDialogAddFavoriteTabsExternal	Menu partagé
lDialogAddFavoriteTabsLive	Options de dossier actif
lDialogAddFileSelect	Choisir un nouveau document:
lDialogAddFolderManuallyPrompt	Désolé, nous ne pouvons détecter automatiquement le dossier actif dans ce type de fenêtre.`n`nVoulez-vous ajouter un dossier favori manuellement?
lDialogAddFolderManuallyTitle	Ajouter ce dossier - ~1~ ~2~
lDialogAddFolderSelect	Choisir ou créer ce nouveau dossier:
lDialogAlt	Alt
lDialogApplicationLabel	Application
lDialogAppWorkingDirCurrent	Lancer l'application dans le dossier où le favori a été cliqué
lDialogArgumentsLabel	Paramètres
lDialogArgumentsLabelHelp	(mettre chaque paramètre entre guillemets si nécessaire)
lDialogArgumentsPlaceholders	Vous pouvez insérer l'emplacement de ce favori en tout ou en partie dans les paramètre grâce à ces codes: {LOC} (emplacement complet), {NAME} (nom du fichier), {DIR} (dossier), {EXT} (extension), {NOEXT} (nom du fichier sans extension) or {DRIVE} (lecteur)
lDialogArgumentsPlaceholdersCheckLabel	Paramètres actuels avec les codes d'emplacement remplacés
lDialogArgumentsPlaceholdersCurrent	Vous pouvez aussi insérer des codes à remplacer par le dossier où le favori a été cliqué: {CUR_LOC} (emplacement complet), {CUR_NAME} (dernier dossier), {CUR_DIR} (dossier contenant le dernier dossier) or {CUR_DRIVE}
lDialogArgumentsPlaceholdersCurrentExample	x:\dossier_contenant\dernier_dossier
lDialogBrowseButton	Parcourir
lDialogBrowseOrSelectApplication	Parcourir pour sélectionner un fichier exécutable ou`nchoisir une application active dans cette liste
lDialogCancelButton	Annuler
lDialogCancelPrompt	Annuler les changements?
lDialogCancelTitle	Annuler - ~1~ ~2~
lDialogChangeHotkeyAlternative	Ceci est un raccourci du menu Alternatif.`n`nVoulez-vous gérer "~1~" dans "~2~"?
lDialogChangeHotkeyAny	N'importe quelle
lDialogChangeHotkeyLeftAnyRight	Chaque touche spéciale peut être liée à seulement la touche de "Gauche", seulement celle de "Droite" ou à "N'importe quelle".
lDialogChangeHotkeyModifierAndNone	Les touches spéciales comme "Alt" ou "Control" ne peuvent pas être sélectionnées seules. Choisissez aussi un bouton de la souris ou une touche du clavier dans la section de droite.
lDialogChangeHotkeyMouseCheckLButton	Vous ne pouvez pas affecter le "Bouton gauche de la souris" sans touche spéciale `n(comme les touches ~1~, ~2~, ~3~ or ~4~).
lDialogChangeHotkeyNote	Note: Tous les favoris nommée "~2~" avec l'emplacement "~1~" seront reliés à ce nouveau raccourci.
lDialogChangeHotkeyNoteSnippet	Note: Tous les fragments nommés "~1~ avec le même contenu seront reliés à ce nouveau raccourci.
lDialogChangeHotkeyPopup	Ceci est un raccourci de menu popup.`n`nVoulez-vous gérer "~1~" dans "~2~"?
lDialogChangeHotkeyTitle	Modifier le raccourci - ~1~ ~2~
lDialogContinue	Poursuivre
lDialogContinueAmpersand	&Poursuivre
lDialogCopy	Copier
lDialogCopyAmpersand	C&opier
lDialogCtrl	Contrôle
lDialogCtrlShort	Ctrl
lDialogEdit	Modifier
lDialogEditIcon	Modifier la ressources de l'icône
lDialogEditIconPrompt	Modifiez l'icône de la ressource selon le format "fichier,index" (par exemple, "shell32.dll,2")
lDialogElevate	Lancer l'application avec des droits d'administration augmentés
lDialogEndOfMenu	fin du menu
lDialogErrorMoving	Incapable de redimensionner pour le favori:`n"~1~"
lDialogExternalAddFromCatalogue	Voulez-vous ajouter un menu externe du Catalogue des menus partagés?
lDialogExternalLocation	Emplacement du fichier de configuration de ce menu partagé
lDialogExternalLocationIni	Le fichier de paramètres partagé doit être un fichier .ini.
lDialogExternalMenuAdd	Ajouter le(s) menu(s) sélectionnés
lDialogExternalMenuAddFromCatalogue	Ajouter des menus partagés du catalogue - ~1~ ~2~
lDialogExternalMenuAddHeader	Nom du menu partgé|Fichier de configuration du menu partagé
lDialogExternalMenuAddNotFromCatalogue	Ajouter un autre menu partagé...
lDialogExternalMenuName	Nom du menu partagé
lDialogExternalMenuOpen	Ouvrir le fichier du menu partagé?
lDialogExternalMenusAdded	~1~ menu(s) partagé(s) ajoutés.
lDialogExternalMenuSelectFromCatalogue	Sélectionnez un ou plusieurs menus partagés à ajouter à votre menu et cliquez ~1~
lDialogExternalSelectFromCatalogue	Choisissez le Menu partagé à ajouter à votre menu
lDialogExternalStartingNumber	Numéro du premier favori:
lDialogExternalTip	Faites double-clic sur une ligne pour voir l'information sur le menu partagé
lDialogExternalTypes	Personnel (menu partagé sur différents ordinateurs pour le même utilisateur)|Collaboratif (menu sur un disque partagé pour une équipe ou un groupe de travail)|Centralisé (menu sur un disque partagé géré par un administrateur de menu)
lDialogExternalTypesLabel	Type de menu partagé
lDialogExternalWriteAccessMessage	Message sur l'accès en écriture du menu partagé
lDialogExternalWriteAccessUsers	Utilisateurs avec les droits d'écriture pour ce menu
lDialogFavoriteDisabled	Ne pas afficher ce favori dans le menu
lDialogFavoriteDisabledGroupMember	Désactiver cet item dans le groupe
lDialogFavoriteDoesNotExistPrompt	Le favori "~1~" n'existe pas ou n'est pas disponible.`n`nSi ce favori réside sur un lecteur réseau, veuillez essayer à nouveau après l'authentification réseau.
lDialogFavoriteDoesNotExistTitle	Favori introuvable - ~1~
lDialogFavoriteDropdownEmpty	Veuillez choisir un item dans la liste déroulante ~1~.
lDialogFavoriteExternalHelpWeb	Voir l'<a href="~1~">aide sur le menus partagés</a> (anglais)  pour plus de renseignements.
lDialogFavoriteExternalSaveNote	Note: Les valeurs dans cet onglet sont enregistrées dans le menu partagé dès que vous cliquez "~1~".
lDialogFavoriteFolderLive	Dossier actif (menu incluant les sous-dossiers)
lDialogFavoriteFolderLiveColumns	Nombre d'items par colonne (0 pour pas de colonnes)
lDialogFavoriteFolderLiveDocuments	Inclure les documents
lDialogFavoriteFolderLiveExclude	Exclure
lDialogFavoriteFolderLiveExtensions	ces extensions (separées par des espaces, par exemple "bak bk")
lDialogFavoriteFolderLiveInclude	Inclure
lDialogFavoriteFolderLiveLevels	Nombre de niveaux de sous-dossiers à inclure dans le Dossier actif
lDialogFavoriteLocationEmpty	L'emplacement est vide. Veuillez indiquer l'emplacement du dossier.
lDialogFavoriteMenuPosition	Insérer le nouveau favori avant cet item
lDialogFavoriteNameEmpty	Le nom du favori est vide. Veuillez indiquer un nom court pour ce favori.
lDialogFavoriteNameNoSeparator	Le nom de cet item ne doit pas inclure le caractère réservé "~1~".
lDialogFavoriteNameNotAllowed	Les favoris de type "~1~" ne peuvent être ajoutés dans les groupes. Veuillez sélectionner un autre menu dans l'onglet "Options du menu Options".
lDialogFavoriteNameNotNew	Le nom "~1~" est déjà présent dans ce menu. Veuillez choisir un nouveau nom.
lDialogFavoriteNameNotNewQAPfeature	Le nom "~1~" est déjà présent dans ce menu. Veuillez renommer le favori existant et essayez à nouveau.
lDialogFavoriteParentMenu	Insérer le nouveau favori dans ce menu
lDialogFavoriteRemoveExternalPrompt	Supprimer le menu partagé "~1~"`n(le fichier de configuration partagé ne sera PAS supprimé)?
lDialogFavoriteRemoveGroupPrompt	Retirer le groupe "~1~"`n(les items dans ce groupe seront aussi supprimés)?
lDialogFavoriteRemovePrompt	Supprimer le sous-menu "~1~"`net TOUT son contenu (dossiers et sous-menus)?
lDialogFavoriteRemoveTitle	Supprimer un favori - ~1~
lDialogFavoriteSelectType	Sélectionnez le type du nouveau favori.`n`nDans l'écran suivant, vous pourrez:`n- nommer votre favori`n- déterminer le contenu visé (selon le type)`n- choisir divers réglages (icône, raccourci, etc.)`n`nChoisissez le type du nouveau favori et cliquez "~1~".
lDialogFavoriteShortNameLabel	Nom court pour le menu
lDialogFavoriteSnippetEmpty	Le contenu est vide. Veuillez entrer le contenu du fragment.
lDialogFavoriteSnippetHelpNoProcess	Insérez ``n pour une fin de ligne et ``t pour une tabulation.
lDialogFavoriteSnippetHelpProcess	Pressez Ctrl-Tab pour insérer une tabulation et Entrée pour insérer une fin de ligne
lDialogFavoriteSnippetHelpWeb	Voir l'<a href="~1~">aide sur les fragments</a> (anglais) pour les caractères spéciaux et l'encodage des commandes.
lDialogFavoriteSnippetProcessEOLTab	Encoder automatiquement les fins de ligne et les tabulations
lDialogFavoriteSnippetPromptLabel	Faire une pause avant ~1~ le fragment
lDialogFavoriteSnippetPromptLabelLaunching	de lancer
lDialogFavoriteSnippetPromptLabelPasting	de coller
lDialogFavoriteSnippetPromptNoPipe	Le caractère barre vertical (|) n'est pas permis dans le message de pause
lDialogFavoriteSnippetSendMode	Envoyer le fragment à l'application active en:
lDialogFavoriteSnippetSendModeMacro	Mode macro
lDialogFavoriteSnippetSendModeText	Mode texte
lDialogFavoritesParentMenuMove	Déplacer ~1~ favori vers ce menu
lDialogFavoriteType	Type de favori
lDialogFavoriteTypesHelp1	Créez un raccourci vers un "Dossier" souvent consulté.`n`nChoisissez le nom, l'emplacement et diverses options pour le menu.`n`nLes options de "Dossier actif" permettent de raffraîchir le menu selon le contenu actuel du dossier.`n`nLes réglages avancés permettent de définir la position de la fenêtre et diverses options de gestion de fichier.
lDialogFavoriteTypesHelp13	Créez un "Fragment de texte". Indiquez le nom, le contenu et diverses options.`n`nDans les réglages avancés, choisissez "Mode texte" pour coller un fragment de texte comme avec le Presse-papiers ou choisissez "Mode macro" pour envoyer le frangment comme des touches frappées au clavier (incluant les touches spéciales, voir l'aide).
lDialogFavoriteTypesHelp14	Créez un "Menu partagé" pour utiliser des favoris sur divers systèmes à partir d'un même fichier de configuration dans un emplacement externe. Choisissez le nom, l'emplacement du fichier externe de configuration et diverses options.`n`nLes menus partagés peuvent être de types "Personnel", "Collaboratif" ou "Centralisé". Un Catalogue des menus partagés peut être sélectionné dans les Options, onglet "Général", pour faciliter l'ajout de menus partagés.`n`nLes menus partagés peuvent être modifiés comme des menus réguliers. Seuls les utilisateurs désignés peuvent modifier les menus partagés de type "Centralisé". Voir la foire aux questions (FAQ) du site web pour plus de détails.
lDialogFavoriteTypesHelp2	Créez un raccourci vers un "Document".`n`nChoisissez le nom, l'emplacement et diverses options pour le menu.`n`nLes réglages avancés permettent de choisir l'application qui lancera ce document, d'ajouter des paramètres optionels et de définir la position de la fenêtre.
lDialogFavoriteTypesHelp3	Créez un raccourci vers une "Appplication" (programme, batch ou script).`n`nParcourez les dossiers pour choisir le fichier exécutable ou choisissez-le dans la liste déroulante des programmes actifs. Réglez diverses options pour le menu.`n`nLes réglages avancés permettent de choisir le dossier de démarrage de l'application, d'ajouter des paramètres optionels et de définir la position de la fenêtre.
lDialogFavoriteTypesHelp4	Créez un raccourci vers l'un des 50 "Dossiers spéciaux" de Windows tel que: Bibliothèque, Mes Images, Corbeille, Téléchargements, etc.`n`nRéglez diverses options pour le menu. Les réglages avancés permettent de définir la position de la fenêtre et diverses options de gestion de fichier.
lDialogFavoriteTypesHelp5	Créez un raccourci vers un "Lien" vers une page web.`n`nChoisissez le nom pour le menu, l'adresse de la page (URL) et diverses options pour le menu.`n`nLes réglages avancés permettent de choisir le navigateur pour ouvrir ce lien, d'ajouter des paramètres optionels et de définir la position de la fenêtre.
lDialogFavoriteTypesHelp6	Créez un raccourci vers un "Site FTP".`n`nChoisissez le nom pour le menu, l'adresse du site FTP (URL), les nom d'utilisateur et mot de passe ainsi que diverses options pour le menu.`n`nLes réglages avancés permettent de choisir le logiciel pour ouvrir ce site, d'ajouter des paramètres optionels et de définir la position de la fenêtre.`n`nNote: le mot de passe n'est PAS encrypté lorsqu'il est transmis sur Internet.
lDialogFavoriteTypesHelp7	Dans n'importe quel menu, insérez des fonctionnalités de QAP tel que:`n`n- ~1~`n- ~2~`n- ~3~`n- ~4~`n- ~5~`n- etc.
lDialogFavoriteTypesHelp8	Rassemblez des favoris apparentés dans un "Sous-menu".`n`nDonnez un nom à ce sous-menu et sélectionnez diverses options.`n`nAjoutez des favoris à votre sous-menu ou déplacez-les à partir d'autres menus ou groupes avec le bouton "Modifier".
lDialogFavoriteTypesHelp9	Lancez un "Groupe" de favoris en un seul raccourci.`n`nDonnez un nom à ce groupe et sélectionnez diverses options.`n`nAjoutez des favoris à votre groupe ou déplacez-les à partir d'autres menus ou groupes avec le bouton "Modifier".`n`nLes Réglages avancés permettent de contrôle la vitesse de restauration en insérant un délai entre chaque favori à restaurer.
lDialogFavoriteTypesLabels	&Dossier|D&ocument|&Application|Dossier &spécial|&Lien|Site &FTP|Fonctionnalité &QAP|Sous-&menu|&Groupe||||Fragments de &texte|M&enu partagé
lDialogFavoriteTypesLocationLabels	Dossier (emplacement)|Document (emplacement et nom de fichier)|Application (emplacement et nom de fichier||Lien (URL)|Site FTP (URL)|||||||Contenu|Menu externe (emplacement et nom du fichier)|
lDialogFavoriteTypesShortNames	Dossier|Doc|App|Spécial|Lien|FTP|QAP|Menu|Groupe|Separateur|Colonne|..|Fragment|Partagé
lDialogFileLabel	Document
lDialogFolderLabel	Dossier
lDialogFoldersPlaceholders	Vous pouvez insérer l'emplacement d'où ce favori est lancé en insérant le code {CUR_LOC}
lDialogGetWinInfo	Pour identifier la fenêtre dont vous voulez obtenir le titre et la classe, cliquez dans la fenêtre désirée avec le raccouricis de menu de QAP [~1~].
lDialogGetWInInfo2Clippoard	Titre de la fenêtre:`n"~1~"`n`nClasse:`n"~2~"`n`nCopier ces informations dans le Presse-papiers?
lDialogHotkeyInvisibleKeys	<a id="~1~">espace</a>, <a id="~2~">tab</a>, <a id="~3~">entrée</a> or <a id="~4~">échappement</a>
lDialogHotkeys	Raccourcis
lDialogHotkeysManageAbout	Raccourcis actuellement actifs dans ~1~
lDialogHotkeysManageAlternative	Alternatif
lDialogHotkeysManageAlternativeMenu	Menu Alternatif
lDialogHotkeysManageIntro	Faites un double-clic sur un favori pour changer son raccourci.
lDialogHotkeysManageListHeader	Menu|Nom du favori|Type|Raccourci|Emplacement du favori
lDialogHotkeysManageListSeeAllFavorites	Voir tous les favoris
lDialogHotkeysManageListSeeShortHotkeyNames	Voir les noms abrégés des raccourcis
lDialogHotkeysManagePopup	Popup
lDialogHotkeysManageTitle	Gérer les raccourcis - ~1~ ~2~
lDialogIcon	Icône
lDialogIconsManage	Icônes
lDialogIconsManageAbout	Choisissez de nouveaux icônes pour vos favoris ou rétablissez l'icône par défaut selon le type de favori. N'oubliez pas d'enregistrer vos changements dans la fenêtre Paramètres.
lDialogIconsManageCurrent	Icône actuel
lDialogIconsManageDefault	Icône par défaut
lDialogIconsManageFavoriteName	Nom du favori
lDialogIconsManageNext	&Suivant
lDialogIconsManageParentMenu	Menu contenant ce favori
lDialogIconsManagePrevious	&Précédant
lDialogIconsManageSetDefaultIcon	Icône par défaut
lDialogIconsManageTitle	Gérer les icônes - ~1~ ~2~
lDialogInvalidHotkey	Avec votre configuration actuelle de clavier, la touche de raccourci "~1~" ne peut être utilisée comme un déclencheur pour le menu popup.`n`nVeuillez ouvrir la fenêtre "Paramètres" dans la zone de notification et cliquez sur "Options". Dans cette boîte de dialogue, choisissez une autre touche de raccourci pour "~2~".
lDialogInvalidHotkeyFavorite	Avec votre configuration actuelle de clavier, la touche de raccourci "~1~" ne peut être utilisée pour ce favori.`n`nVeuillez choisir une autre touche de raccourci pour le favori "~2~" et l'emplacement "~3~".
lDialogInvalidHotkeyQAPFeature	Avec votre configuration actuelle de clavier, la touche de raccourci "~1~" ne peut être utilisée pour cette fonctionnalité QAP.`n`nVeuillez choisir une autre touche de raccourci pour la fonctionnalité QAP "~2~".
lDialogKeyboard	Clavier
lDialogLaunchWith	Lancer avec cette application
lDialogMaximized	Maximisée
lDialogMenuNotMoveUnderItself	Le menu "~1~" ne peut être déplacé sous lui-même.
lDialogMinimized	Minimisée
lDialogMouse	Souris
lDialogMouseButtonsText	Bouton de gauche de la souris|Bouton du milieu de la souris|Bouton de droite de la souris|Bouton spécial 1 de la souris|Bouton spécial 2 de la souris|Molette vers le haut|Molette vers le bas|Molette à gauche|Molette à droite|
lDialogMouseCheckLButton	Vous ne pouvez pas attribuer le "Bouton de gauche de la souris" sans touche de modification`n(comme les touches ~1~, ~2~, ~3~ ou ~4~).
lDialogMoveFavoritesTitle	Déplacer des favori - ~1~ ~2~
lDialogNone	Aucun
lDialogNormal	Normal
lDialogOff	Inactif
lDialogOK	OK
lDialogOKAmpersand	&OK
lDialogOn	Actif
lDialogOpenThisGroup	Ouvrir ce groupe
lDialogOpenThisMenu	Ouvrir ce menu
lDialogOr	ou
lDialogReadOnly	Lecture seulement
lDialogRemoveMultipleFavorites	Voulez-vous vraiement supprimer ~1~ favoris ou sous-menus?
lDialogSearch	Rechercher
lDialogSelectIcon	Sélectionnez l'icône
lDialogSelectItemToAdd	Sélectionnez l'item à ajouter
lDialogSelectItemToEdit	Veuillez sélectionner l'item à modifier.
lDialogSelectItemToMove	Veuillez sélectionner l'item à déplacer.
lDialogSelectItemToRemove	Veuillez sélectionner l'item à supprimer.
lDialogSettingsInvalid	Fichier de configuration invalide.`n`nVeuillez vous assurer que le fichier de configuration contient les sections ~1~ et ~2~.`n`nFichier: ~3~
lDialogSettingsNotSavedPrompt	Des changements dans la fenêtre Paramètres n'ont pas été enregistrés. Ces changements doivent être enregistrés ou annulés afin de permettre l'exécution de l'action demandée.`n`nVoulez-vous:`n- "Enregistrer": enregistrer vos changements et exécuter l'action demandée`n- "Paramètres": annuler l'action demandée et afficher la fenêtre Paramètres`n- "Annuler": seulement annuler l'action demandée?
lDialogSettingsNotSavedTitle	~1~ - Paramètres pas enregistrés
lDialogShift	Maj
lDialogShortcut	Raccourci
lDialogState	État de la fenêtre:
lDialogSubmenuNameEmpty	Le nom du sous-menu est vide. Veuillez indiquer un nom court pour ce menu.
lDialogSubmenuParentMenu	Menu contenant ce sous-menu
lDialogSwitchSettings	Choisissez le fichier de configuration à utiliser
lDialogSwitchSettingsCancel	Changement de fichier de configuration annulé...`n`nFichier de configuration actuel:`n~1~
lDialogSwitchSettingsReady	Relancer ~2~ avec le nouveau fichier de configuration:`n`n~1~
lDialogTabNext	Suite
lDialogThirdPartyDetected	~1~ a détecté que ~2~ est installé sur votre ordinateur.`n`nVoulez-vous activer l'intégration avec ~2~?
lDialogTriggerFor	Déclencheur pour:
lDialogUseDefaultWindowPosition	Utiliser la position de fenêtre par défaut
lDialogWin	Windows
lDialogWindowPosition	Position de la fenêtre:
lDialogWindowPositionDelay	Délai
lDialogWindowPositionH	Hauteur
lDialogWindowPositionLeft	Gauche
lDialogWindowPositionMayFail	Note: pour diverses raisons, QAP peut échouer à déplacer ou redimensionner certaines fenêtres.
lDialogWindowPositionRight	Droite
lDialogWindowPositionW	Largeur
lDialogWindowPositionX	Gauche
lDialogWindowPositionY	Haut
lDialogWindowsFolderIconCreate	créer
lDialogWindowsFolderIconNoRoot	Il n'est pas permis de changer l'icône de dossier de Windows dans le dossier racine d'un disque (~1~).
lDialogWindowsFolderIconPrompt	Cette commande va ~1~ le fichier système:`n~2~`n`nL'icône de dossier de Windows sera celle actuellement sélectionnée pour ce favoris. Voulez-vous continuer?
lDialogWindowsFolderIconPrompt2	Note: Il peut s'écouler 10-15 secondes ou jusqu'à une minute avant que Windows n'affiche la nouvelle icône de dossier.
lDialogWindowsFolderIconRemove	Retirer l'icône de dossier de Windows
lDialogWindowsFolderIconRemoveFile	Cette commande peut aussi SUPPRIMER le fichier système et restaurer la configuration par défaut du dossier:`n~1~`n`nVoulez-vous SUPPRIMER ce dossier système?
lDialogWindowsFolderIconReset	L'icône de dossier de Windows par défaut sera restaurée. `n`nVoulez-vous continuer?
lDialogWindowsFolderIconSet	Changer l'icône de dossier de Windows
lDialogWindowsFolderIconUpdate	mettre à jour
lDialogWinShort	Win
lDialogWorkingDirLabel	Démarrer dans
lDonateButtonAmpersand	Soutenez ce &gratuiciel!
lDonateCheckPrompt	Vous aimez ~1~?`n`n~1~ n'est pas seulement GRATUIT mais aussi distribué SANS ces attrapes publicitaires dont on ne sait jamais si elles transportent des virus ou encore des logiciels espions ou malveillants.`n`nCela fait maintenant ~2~ fois que ~1~ est lancé pour faciliter votre travail quotidien. Que diriez-vous de soutenir ce gratuiciel à votre tour?
lDonateCheckPrompt2	Note: Les utilisateurs qui veulent bien faire un don reçoivent un CODE qui arrêtera ~1~.
lDonateCheckPrompt3	l'affichage de ce message
lDonateCheckPrompt4	l'affichage des rappels à propos des dons
lDonateCheckTitle	~1~ fois! - ~2~
lDonateMenu	Soutenez ce gratuiciel!
lDonatePlatformComment1	Donnez avec votre carte de crédit (pas nécessaire de créer un compte) ou avec votre compte PayPal
lDonatePlatformComment2	Pour les donateurs Européens
lDonatePlatformComment3	Pour les donateurs Canadiens
lDonatePlatformName1	Avec Paypal en US $
lDonatePlatformName2	Avec Paypal en Euros
lDonatePlatformName3	Avec Paypal en CAD $
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Soutenez le développement de ~1~ !
lDonateText2	<a href="~1~">Pourquoi soutenir ce gratuiciel?</a>
lDonateText3	... ou soutenez ce gratuiciel gratuitement !
lDonateText4	Rédigez un avis favorable à ~1~ sur :
lDonateText5	Envoyez-moi votre lien
lDonateThankyou	Merci pour cette marque d'appréciation!
lDonateTitle	Soutenez ce gratuiciel! - ~1~ ~2~
lGuiAbout	À propos
lGuiAddFavorite	Ajouter
lGuiCancel	Annuler
lGuiCancelAmpersand	&Annuler
lGuiClose	Fermer
lGuiCloseAmpersand	&Fermer
lGuiDonate	Soutien
lGuiDropFilesHelp	Aide glisser-déposer
lGuiDropFilesIncentive	Vous pouvez "glisser-déposer" les types de favoris`nsuivants sur la fenêtre de ~1~:`n`n- ~2~`n- ~3~`n- ~4~
lGuiEditFavorite	Modifier
lGuiGroupClosing	Fermeture des fenêtres de l'Explorateur
lGuiGroupRestoreDelay	Délai entre la restauration des favoris:
lGuiGroupRestoreDelayMilliseconds	millisecondes
lGuiGroupRestoreSide	Afficher de quel côté de ~1~?
lGuiGroupSaveAddWindowsLabel	Ajouter aux fenêtres existantes
lGuiGroupSaveReplaceWindowsLabel	Remplacer les fenêtres existantes
lGuiGroupSaveRestoreOption	Lors de la restauration du groupe:
lGuiGroupSaveRestoreWith	Restaurer les dossier avec:
lGuiHelp	Aide
lGuiHotkeysHelp	Aide sur les raccourcis des favoris
lGuiHotkeysHelpText	Flèche Bas: Sélectioner le prochain favori`nFlèche Haut: Sélectioner le favori précédent`n`nEntrée: Modifier un favori`nCtrl-N: Ajouter un favori`nCtrl-C: Copier un favori`nSuppr: Supprimer un ou des favoris`n`nMaj-Haut/Bas: Sélectionner des favori contigus`nCtrl-Clic: Sélectionner des favoris non-contigus`nCtrl-A: Sélectionner tous les favoris`n`nCtrl-Bas: Déplacer un ou des favoris vers le bas`nCtrl-Haut: Déplacer un ou des favoris vers le haut`n`nCtrl-Droite: Ouvrir un sous-menu`nCtrl-Gauche: Ouvrir le sous-menu contenant ce menu
lGuiHotkeysHelpText2	F1: Afficher la fenêtre d'aide`nCtrl-F: Sélectionner la boîte de recherche`nCtrl-H: Afficher cette fenêtre
lGuiLoginName	Code d'utilisateur
lGuiLvFavoritesHeader	Nom|Type|Raccourci|Emplacement ou contenu
lGuiLvFavoritesHeaderFiltered	Nom|Menu|Type|Raccourci|Emplacement ou contenu
lGuiMove	Déplacer
lGuiMoveAmpersand	&Déplacer
lGuiOptions	Options
lGuiPassword	Mot de passe
lGuiPasswordNotEncripted	Note: Le mot de passe ne sera PAS encrypté lorsqu'il sera transmis sur Internet.
lGuiRemoveFavorite	Supprimer
lGuiResetDefault	Restaurer le raccourci par défaut
lGuiSave	Enregistrer
lGuiSaveAmpersand	&Enregistrer
lGuiSaveAndCloseAmpersand	&Enregistrer`net fermer
lGuiSaveAndStayAmpersand	Enregistrer`net &raffraîchir
lGuiSaveToUpdateBacklinks	Enregistrer pour mettre à jour les liens de retour
lGuiSaving	Enregistre
lGuiSubmenuDropdownLabel	Menu à modifier:
lGuiTitle	Paramètres - ~1~ ~2~
lHelpTabAddingFavorite	Ajouter des favoris
lHelpTabGettingStarted	Premier pas
lHelpTabQAPFeatures	Fonctionnalités QAP
