lAboutText1	~1~ ~2~ (~3~ bits)
lDialogWindowPositionMayFail	Nota: por várias razões o QAP pode falhar ao mover ou redimensionar algumas janelas.
lDialogWindowPositionRight	Direita
lDialogWindowPositionW	Largura
lDialogWindowPositionX	Esquerda
lDialogWindowPositionY	Superior
lDialogWindowsFolderIconCreate	criar
lDialogWindowsFolderIconNoRoot	O ícone da pasta do não pode ser definido  na pasta raiz da unidade (~1~).
lDialogWindowsFolderIconPrompt	Este comando irá ~1~ o arquivo do sistema:`n~2~`n`nO ícone da pasta do Windows será definido como o ícone atualmente selecionado para seu favorito. Deseja continuar?
lDialogWindowsFolderIconPrompt2	Nota: Pode levar de 10-15 segundos ou até 1 minuto antes do Windows exibir o novo ícone da pasta.
lDialogWindowsFolderIconRemove	Remover ícone da pasta do Windows
lDialogWindowsFolderIconRemoveFile	Este comando também pode EXCLUIR este arquivo do sistema e restaurar a pasta para seu estado padrão:`n~1~`n`nDeseja EXCUIR o arquivo do sistema? 
lDialogWindowsFolderIconReset	O ícone da pasta será restaurado para a imagem padrão.`n`nDeseja continuar?
lDialogWindowsFolderIconSet	Definir ícone da pasta do Windows
lDialogWindowsFolderIconUpdate	atualizar
lDialogWinShort	Win
lDialogWorkingDirLabel	Iniciar em
lDonateButtonAmpersand	Apoiar o &Freeware!
lDonateCheckPrompt	Você está contente com o ~1~?`n`nO ~1~ não é somente GRATUITO, mas também LIVRE de publicidade desagradável ou adware, que você nunca sabe se carrega spyware ou malware.`n`nAté agora, por ~2~ vezes o ~1~ lhe ajudou no seu trabalho diário. Que tal apoiar este freeware agora?
lDonateCheckPrompt2	Nota: Os usuários que gentilmente fazerem uma doação receberão um código que fará PARAR de ~1~.
lDonateCheckPrompt3	exibir esta mensagem
lDonateCheckPrompt4	exibir lembretes de doação
lDonateCheckTitle	~1~ vezes! - ~2~
lDonateMenu	Apoiar o Freeware!
lDonatePlatformComment1	Doe com seu cartão de crédito (não é necessário uma conta) ou sua conta PayPal
lDonatePlatformName1	Usando Paypal
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Apoie o desenvolvimento do ~1~!
lDonateText2	<a href="~1~">Por que apoiar o freeware?</a>
lDonateText3	... ou apoie o freeware de graça!
lDonateText4	Dê uma crítica favorável para o ~1~ em:
lDonateText5	Envie-me seu link
lDonateThankyou	Obrigado por apoiar o freeware!
lDonateTitle	Apoiar o freeware! - ~1~ ~2~
lGuiAbout	Sobre
lGuiAddFavorite	Adicionar
lGuiCancel	Cancelar
lGuiCancelAmpersand	&Cancelar
lGuiClose	Fechar
lGuiCloseAmpersand	&Fechar
lGuiDonate	Suporte
lGuiDropFilesHelp	Ajuda Arrastar && Soltar
lGuiDropFilesIncentive	Você pode arrastar & soltar os seguintes tipos de favoritos`nna janela do ~1~:`n`n- ~2~`n- ~3~`n- ~4~
lGuiEditFavorite	Editar
lGuiGroupClosing	Fechando janelas do Explorer
lGuiGroupRestoreDelay	Atraso entre a restauração de favoritos
lGuiGroupRestoreDelayMilliseconds	millisegundos
lGuiGroupRestoreSide	Exibir em qual lado de ~1~?
lGuiGroupSaveAddWindowsLabel	Adicionar a janela existente
lGuiGroupSaveReplaceWindowsLabel	Substituir janelas existentes
lGuiGroupSaveRestoreOption	Ao restaurar este grupo:
lGuiGroupSaveRestoreWith	Restaurar pastas com:
lGuiHelp	Ajuda
lGuiHotkeysHelp	Ajuda de Atalhos para Favoritos
lGuiHotkeysHelpText	Seta para baixo: Selecionar próximo favorito`nSeta para cima: Selecionar favorito anterior`n`nEnter: Editar favorito`nCtrl-N: Adicionar novo favorito`nCtrl-C: Copiar favorito`nDel: Remover favorito(s)`n`nShift-Seta para cima/baixo: Selecionar favoritos contínuos`nCtrl-Clique: Selecionar favoritos não-contínuos`nCtrl-A: Selecionar todos os favorites`n`nCtrl-Seta para baixo: Mover favorito(s) para baixo`nCtrl-Seta para cima: Mover favorito(s) para cima`n`nCtrl-Seta direita: Abrir submenu ou grupo selecionado`nCtrl-Seta esquerda: Abrir menu pai
lGuiLoginName	Nome de login
lGuiLvFavoritesHeader	Nome|Tipo|Local ou conteúdo
lGuiMove	Mover
lGuiMoveAmpersand	&Mover
lGuiOptions	Opções
lGuiPassword	Senha
lGuiPasswordNotEncripted	Nota: a senha NÃO será criptografada ao ser enviada pela Internet.
lGuiRemoveFavorite	Remover
lGuiResetDefault	Redefinir tecla de atalho padrão
lGuiSave	Salvar
lGuiSaveAmpersand	&Salvar
lGuiSaveAndCloseAmpersand	&Salvar`n&& Fechar
lGuiSaveAndStayAmpersand	Salvar`n&& &Recarregar
lGuiSaveToUpdateBacklinks	Salvar para atualizar links
lGuiSubmenuDropdownLabel	Menu ou grupo para editar:
lGuiTitle	Configurações - ~1~ ~2~
lHelpTabAddingFavorite	Adicionando Favoritos
lHelpTabGettingStarted	Começando
lHelpTabQAPFeatures	Recursos do QAP
lHelpTabTipsAndTricks	Dicas e Truques
lHelpText11	Ao ser iniciado, o Quick Access Popup adiciona um ícone na Área de Notificação e aguarda pelos comandos. Quando você quiser iniciar uma das suas PASTAS, DOCUMENTOS, APLICATIVOS, LINKS DA WEB, SITE FTP ou RECORTE preferidas, aperte a tecla de atalho do QAP [~1~] ou [~2~] e, no menu popup, selecione o favorito desejado.
lHelpText12	Quando você selecionar uma PASTA favorita no Windows Explorer ou uma caixa de diálogo de arquivo*, o Quick Access Popup instantaneamente "navega" a janela atual até esta pasta! *Este recurso deve ser ativado em Opções.
lHelpText13	Para forçar a abertura da pasta em uma nova janela, aperte as teclas de atalho Alternativas [~1~] ou [~2~]. No menu Alternativo, selecione "Abrir em uma nova janela", então selecione a pasta desejada. O menu Alternativo oferece várias outras funções.
lHelpText14	Escolha "Configurações" para personalizar o menu do Quick Access Popup. Você pode adicionar favoritos em seu menu. Você pode mover, renomear ou excluir favoritos. Também pode adicionar SUBMENUS, GRUPOS ou MENUS COMPARTILHADOS. Escolha "Menu ou grupo para editar:" na lista suspensa. Clique "Salvar" para manter suas alterações. 
lHelpText21	Para adicionar favoritos, na janela "Configurações", clique no botão "Adicionar". Selecione o tipo do novo favorito e veja as dicas no lado direito da janela. Clique "Continuar" para abrir a caixa de diálogo "Adicionar Favorito".
lHelpText22	Nas quatro abas da caixa de diálogo "Adicionar favorito", entre as "Configurações Básicas", "Opções de Menu", "Opções da Janela" e "Configurações Avançadas". Clique "Adicionar" para inserir o favorito em seu menu e "Salvar" na janela de Configurações.
lHelpText23	ADICIONAR ESTA PASTA`n`nPara ADICIONAR rapidamente uma nova PASTA favorita ao menu popup:`n1) Vá até um a pasta usaa com frequência.`n2) Clique na tecla de atalho do QAP [~1~] ou [~2~], escolha o menu "Meus Essenciais do QAP" e clique "Adicionar Esta Pasta".`n3) Dê um nome curto para a pasta, clique "Adicionar", então "Salvar" na janela Configurações.
lHelpText31	No menu "Meus Essenciais do QAP":
lHelpText32	- Acesse o menu "Alterar..." para mudar para qualquer outra janela do Explorer ou aplicativo em execução.`n- Use o menu "Reabrir Pasta" para reabrir uma das pastas já abertas em uma janela do Explorer (muito útil em caixas de diálogo de arquivo).`n- Escolha o menu "Pastas recentes..." para exibir uma lista atualizada das pastas recentes do Windows.`n- Acesse os arquivos ou URLs em sua Área de Transferência pelo menu "Área de Transferência".`n- Clique no menu "Discos" para ver a lista de unidades com o espaço em disco atual.
lHelpText33	PERSONALIZE O MENU DE RECURSOS DO QAP
lHelpText34	Você pode mover os itens do menu "Meus Essenciais do QAP" para o menu principal ou outros submenus como desejar.`n`n1) Selecione o menu "Configurações" (ou aperte [~1~]).`n2) Na lista suspensa "Menu ou grupo para editar:", selecione "Principal > Meus Essenciais do QAP".`n3) Selecione o recurso do QAP para mover e clique "Editar".`n4) Na aba "Opções do Menu", selecione o novo "Menu Pai do Favorito".`n5) Salve suas alterações.
lHelpText41	- Use o ícone do Quick Access Popup no menu da Área de Notificação (canto inferior direito da tela do Windows) em uma destas 3 maneiras:`n1) Clique esquerdo no ícone para abrir o menu popup do QAP`n2) Clique direito no ícone para abir o menu de sistema do QAP.`n3) Clique duplo no ícone para abrir a caixa de diálogo "Configurações".
lHelpText42	- No menu da Área de Notificação, clique direito no ícone do Quick Access Popup e marque a opção "Executar na Inicialização" para iniciar o Quick Access Popup automaticamente com o Windows.
lHelpText43	- Configure os disparadores de menu do Quick Access Popup: escolha os botões preferidos do mouse ou atalhos de teclado em "Configurações > Opções > Teclas de atalho do menu".
lHelpText44	- Também em "Opções": escolha o idioma preferido, tamanho dos ícones do menu, cores das janelas. Selecione o número de pastas recentes para exibir, adicione atalhos numéricos do teclado ao menu de pastas ou lembretes de atalhos. Fixe o menu popup em uma posição ou lembre a posição da janela de Configurações.
lHelpText45	- Usuários do Directory Opus, veja <a href="http://www.quickaccesspopup.com/how-to-i-enable-directory-opus-support-in-quick-access-popup/">esta página</a> para informações adicionais.`n- Usuários do Total Commander, veja <a href="http://www.quickaccesspopup.com/how-do-i-enable-total-commander-support-in-quick-access-popup/">esta página</a> para informações adicionais.`n- Usuários de outros gerenciadores de arquivos, vejam <ahref="http://www.quickaccesspopup.com/what-file-managers-are-supported-in-addition-to-windows-explorer/">esta página</a> para informações adicionais em QAPconnect.
lHelpTextLead	O Quick Access Popup lhe permite mover rapidamente entre suas pastas, documentos e páginas da web mais usadas com frequência!
lHelpTitle	Ajuda - ~1~ ~2~
lImpExpAborted	abortado
lImpExpAppend	Anexar
