lAboutText1	~1~ ~2~ (~3~ bits)
lDialogAddFavoriteTabs	Ajustes básicos|Menú de Opciones|Opciones de ventana|Ajustes avanzados
lDialogAddFavoriteTabsLive	Opciones de carpeta dinámica
lDialogAddFileSelect	elegir un nuevo documento:
lDialogAddFolderManuallyPrompt	Lo sentimos, no podemos detectar la carpeta actual en este tipo de ventana.`n`n¿Quiere añadir una carpeta favorita ahora manualmente?
lDialogAddFolderManuallyTitle	Agregar carpeta - ~1~ ~2~
lDialogAddFolderSelect	Elegir donde crear una nueva carpeta:
lDialogAlt	Alt
lDialogApplicationLabel	Aplicación
lDialogAppWorkingDirCurrent	Iniciar la aplicación en la ubicación de la carpeta en la que se puso en marcha este favorito
lDialogArgumentsLabel	Ajustes
lDialogArgumentsLabelHelp	(poner cada elemento entre comillas si es necesario)
lDialogArgumentsPlaceholders	Puede incluir la ubicación de este favorito en su totalidad o en parte, en el entorno a través de estos códigos: {LOC} (ubicación completa), {NAME} (nombre de la carpeta), {DIR} (carpeta), {EXT} (extensión), {NOEXT} (nombre de la carpeta sin extensión) o {DRIVE} (lector)
lDialogArgumentsPlaceholdersCheckLabel	Ajustes actuales reemplazados por los códigos de ubicación
lDialogArgumentsPlaceholdersCurrent	También puede insertar marcadores de posición para la ubicación de la carpeta actual en la que se puso en marcha este favorito: {CUR_LOC} (ubicación completa), {CUR_NAME} (última carpeta), {CUR_DIR} (carpeta contenedora de la última carpeta) o {CUR_DRIVE} 
lDialogArgumentsPlaceholdersCurrentExample	x:\contenedor_carpeta\última_carpeta
lDialogBrowseButton	Revisar
lDialogBrowseOrSelectApplication	Examinar para seleccionar un archivo ejecutable o elegir una aplicación activa en esta lista
lDialogCancelButton	Anular
lDialogCancelPrompt	Anular los cambios?
lDialogCancelTitle	Anular - ~1~ ~2~
lDialogChangeHotkeyAlternative	Se trata de un acceso directo del menú Alternativo.`n`n¿Quiere gestionar? "~1~" in "~2~"?
lDialogChangeHotkeyNote	Note: La ubicación "~1~" se conectará a este nuevo acceso directo en todos los menús..
lDialogChangeHotkeyNoteSnippet	Nota: Este fragmento se vinculará a la nueva tecla de acceso directo en todos los menús.
lDialogChangeHotkeyPopup	Se trata de un acceso directo del menú emergente.`n`n¿Quiere gestionar? "~1~" in "~2~"?
lDialogChangeHotkeyTitle	Modificar acceso directo - ~1~ ~2~
lDialogContinue	Continuar
lDialogCopy	Copiar
lDialogCtrl	Control
lDialogCtrlShort	Ctrl
lDialogEdit	Modificar
lDialogEditIcon	Modificar recursos del icono
lDialogEditIconPrompt	Modificar el icono del recurso en el formato "carpeta, índice" (por ejemplo, "shell32.dll,2"):
lDialogElevate	Ejecutar la aplicación con privilegios de administrador
lDialogEndOfMenu	fin del menú
lDialogErrorMoving	No es posible cambiar el tamaño del favorito:`n"~1~"
lDialogExternalLocation	Ubicación ajustes del menú externos para ubicación del archivo
lDialogExternalStartingNumber	Número del primer favorito:
lDialogFavoriteDisabled	No añadir este favorito al menú
lDialogFavoriteDoesNotExistPrompt	El favorito "~1~" no existe o no está disponible.`n`nSi este favorito está ubicado en una unidad de red, por favor, inténtalo de nuevo después de la autenticación de red.
lDialogFavoriteDoesNotExistTitle	Favorito no encontrado - ~1~
lDialogFavoriteDropdownEmpty	Por Favor seleccione un elemento ~1~ en la lista desplegable.
lDialogFavoriteExternalHelpWeb	Ver <a href="~1~">Ayuda para menús externos</a> para más información.
lDialogFavoriteFolderLive	Carpeta dinámica (menú que incluye subcarpetas, ver "Configuración avanzada" para las opciones)   
lDialogFavoriteFolderLiveColumns	Número de objetos por columna  (0 si no hay columnas) 
lDialogFavoriteFolderLiveDocuments	Incluir documentos 
lDialogFavoriteFolderLiveExclude	Excluir
lDialogFavoriteFolderLiveExtensions	estas extensiones (extensiones separadas con espacios, por ejemplo "bak bk")
lDialogFavoriteFolderLiveInclude	Incluir
lDialogFavoriteFolderLiveLevels	Número de niveles de subcarpetas a incluir en el menú Carpeta dinámica 
lDialogFavoriteLocationEmpty	La ubicación está vacía. Quiere indicar la ubicación de la carpeta.
lDialogFavoriteMenuPosition	Inserte nuevos favoritos antes de este artículo
lDialogFavoriteNameEmpty	El nombre del favorito está vacio. Quiere indicar un nombre corto para este favorito.
lDialogFavoriteNameNoSeparator	Este nombre de elemento no puede incluir el carácter reservado "~1~".
lDialogFavoriteNameNotAllowed	Tipos de favoritos "~1~" no se pueden añadir a los grupos. Por favor seleccione otro menú en la pestaña "Opciones del menú Opciones".
lDialogFavoriteNameNotNew	El nombre "~1~" ya está presente en este menú. Quiere elegir un nuevo nombre.
lDialogFavoriteNameNotNewQAPfeature	El nombre "~1~" ya está contenido en ese menú. Desea renombrar el favorito existente y probar uno nuevo.
lDialogFavoriteParentMenu	Inserte nuevos favoritos en este menú
lDialogFavoriteRemoveExternalPrompt	Borrar el submenú externo "~1~"`n(no se eliminará el archivo de configuración externa)?
lDialogFavoriteRemoveGroupPrompt	Borrar grupo "~1~"`n(los elementos del grupo también se eliminarán)? 
lDialogFavoriteRemovePrompt	Suprimir el sub-menú "~1~"`incluyendo todos los contenidos (carpetas y sub-menús)?
lDialogFavoriteRemoveTitle	Suprimir un favorito - ~1~
lDialogFavoriteSelectType	Seleccione el tipo de nuevo favorito.`n`nEn la siguiente pantalla, puede:`n- nombrar su favorito`n- determinar contenido personalizado (según el tipo)`n- seleccionar varios ajustes (icono, atajo, etc.)`n`nElija el tipo del nuevo favorito y clique "~1~".
lDialogFavoriteShortNameLabel	Nombre corto para el menú
lDialogFavoriteSnippetEmpty	El contenido está vacío. Por favor, introduzca el contenido del fragmento.
lDialogFavoriteSnippetHelpNoProcess	Introduzca ``n para fin de linea y ``t para una pestaña.
lDialogFavoriteSnippetHelpProcess	Oprima Ctrl-Tab para insertar pestañas y Enter para insertar fin de linea
lDialogFavoriteSnippetHelpWeb	Ver <a href="~1~">Ayuda con fragmentos</a> para la codificación de caracteres y comandos especiales.
lDialogFavoriteSnippetProcessEOLTab	Codificará automáticamente fin de línea y tabuladores
lDialogFavoriteSnippetPromptLabel	Preguntar antes de ~1~ el código 
lDialogFavoriteSnippetPromptLabelLaunching	lanzando
lDialogFavoriteSnippetPromptLabelPasting	pegado
lDialogFavoriteSnippetPromptNoPipe	Carácter de barra vertical (|) no esta permitido en el código
lDialogFavoriteSnippetSendMode	Enviar fragmento de aplicación actual a:
lDialogFavoriteSnippetSendModeMacro	Modo macro
lDialogFavoriteSnippetSendModeText	Modo texto
lDialogFavoritesParentMenuMove	Mover ~1~ favoritos hacia este menú
lDialogFavoriteType	Tipo de favorito
lDialogFavoriteTypesHelp1	Crear acceso directo sobre "Carpeta" de uso frecuente.`n`nElija el nombre, la ubicación y las diversas opciones al menú.`n`nLas opciones avanzadas permiten definir la posición de la ventana y varias opciones de administración de archivos.
lDialogFavoriteTypesHelp13	Crear un "Fragmento". Proporcionar el nombre, el contenido y varias opciones.`n`nEn las configuraciones avanzadas, seleccione "Modo de texto" para pegar un trozo de texto al igual que con el portapapeles o elige "Modo macro" para enviar el fragmento como pulsaciones de teclas en el teclado (incluyendo teclas especiales, consulte la Ayuda).
lDialogFavoriteTypesHelp14	Crear un "Menú compartido" para utilizar el preferido en varios sistemas a partir de un solo archivo de configuración en una ubicación externa.`n`nElegir nombre, la ubicación del archivo de configuración externo y varias opciones.`n`nLos menús compartidos se pueden cambiar como menús normales a menos que estén configurados como de sólo lectura (ver ayuda).
lDialogFavoriteTypesHelp2	Crear un acceso directo hacia un "Documento".`n`nElegir el nombre, ubicación y diversas opciones para el menú.`n`nLas opciones avanzadas permiten elegir la aplicación que lanzará este documento, añadir parámetros opcionales y definir la posición de la ventana.
lDialogFavoriteTypesHelp3	Crear un acceso directo a una "Aplicación" (programa, ejecutable o script).`n`nExplore las carpetas para seleccionar el archivo ejecutable o seleccionarlo de la lista desplegable de programas activos. Configurar las diversas opciones para el menú.`n`nLas opciones avanzadas le permiten seleccionar la carpeta de inicio de la aplicación, agregar parámetros opcionales para definir la posición de la ventana.
lDialogFavoriteTypesHelp4	Crear un atajo hacia una de las 50 "Carpetas especiales" de Windows tales como: Bibliotecas, Mis Imágenes, Papelera, Descargas, etc.`n`nConfigure las diferentes opciones del menú. Ajustes avanzados permiten configurar las opciones de posición de la ventana y del gestor de archivos.
lDialogFavoriteTypesHelp5	Crear un "Link" a un sitio web.`n`nEstablecer nombre del menú, la dirección de la página web (URL) y varias opciones de menú.`n`nAjustes avanzados permiten seleccionar un navegador específico para poner en marcha el enlace, agregar parámetros opcionales y ajustar la posición de la ventana.
lDialogFavoriteTypesHelp6	Crear un acceso directo a un "FTP Sitio".`n`nEstablecer Nombre del menú, FTP dirección del sitio (URL), nombre de inicio de sesión, contraseña y varias opciones del menú.`n`nAjustes avanzados permiten seleccionar un programa de FTP específico para acceder a este sitio, agregar parámetros opcionales, ajuste la posición de la ventana y codificar el nombre de usuario y contraseña.`n`nNota: la contraseña NO es encriptada al enviarse por Internet.
lDialogFavoriteTypesHelp7	Inserte cualquier lugar en su menú "Quick Access Popup Características" como:`n`n- ~1~`n- ~2~`n- ~3~`n- ~4~`n- ~5~`n- etc.
lDialogFavoriteTypesHelp8	Reúna favoritos relacionados en un "Submenú".`n`nDele a su submenú un nombre y seleccione las opciones de menú.`n`nAñadir favoritos a su submenú o moverlos a otros submenús o grupos utilizando el botón "Editar".
lDialogFavoriteTypesHelp9	Lance un "grupo" de favoritos, todo en un acceso directo!`n`nDele a su grupo un nombre y configure varias opciones para su grupo.`n`nAñadir favoritos a tu grupo o moverlos a otros submenús o grupos utilizando el botón "Editar".`n`nAjustes avanzados permiten controlar la velocidad de la restauración mediante la inserción de un retardo entre cada favorito para restaurar.
lDialogFavoriteTypesLabels	&Carpeta|&Documento|&Aplicación|&Carpeta Especial|&Link|F&TP Sitio|&QAP Característica|Sub&menu|&Grupo||||Texto &Fragmento|&Menú Externo
lDialogFavoriteTypesLocationLabels	Carpeta (ubicación)|Documento (ubicación y nombre del archivo)|Applicación (ubicación y el nombre del archivo)||Link (URL)|FTP Sitio (URL)|||||||Contenido|Menú externo (ubicación y nombre del archivo)|
lDialogFavoriteTypesShortNames	Carpeta|Doc|App|Especial|Enlace|FTP|QAP|Menú|Grupo|Separador|Columna|..|Código|Compartido
lDialogFileLabel	Documento
lDialogFolderLabel	Carpeta
lDialogFoldersPlaceholders	Puede insertar el marcador de posición {CUR_LOC} para insertar la ubicación donde se ha lanzado este favorito
lDialogGetWinInfo	Para identificar la ventana de la cual desea obtener el título y la categoría, haga clic en la ventana de destino con el menú de teclas rápidas QAP [~1~].
lDialogGetWInInfo2Clippoard	Ventana title:`n"~1~"`n`nClass:`n"~2~"`n`nCopiar esta info al Portapapeles?
lDialogHotkeyInvisibleKeys	<a id="~1~">barra espaciadora</a>, <a id="~2~">tabulador</a>, <a id="~3~">intro</a> or <a id="~4~">escape</a> 
lDialogHotkeys	Atajos de teclado
lDialogHotkeysManageAbout	Accesos directos activos actualmente en ~1~
lDialogHotkeysManageAlternative	Alternativa
lDialogHotkeysManageAlternativeMenu	Menú Alternativo
lDialogHotkeysManageIntro	Doble click en una línea favorita para cambiar su acceso directo.
lDialogHotkeysManageListHeader	Menú|Nombre del Favorito|Tipo|Atajo de teclado|Ubicación del Favorito
lDialogHotkeysManageListSeeAllFavorites	Ver todos los favoritos
lDialogHotkeysManageListSeeShortHotkeyNames	Ver nombres de atajos de teclado
lDialogHotkeysManagePopup	Popup
lDialogHotkeysManageTitle	Gestionar atajos de teclado - ~1~ ~2~
lDialogIcon	Icono Favorito
lDialogIconsManage	Iconos 
lDialogIconsManageAbout	Seleccione los iconos nuevos para sus favoritos o establezca el icono predeterminado para su tipo. No olvide guardar los cambios en la ventana Configuración. 
lDialogIconsManageCurrent	Icono actual 
lDialogIconsManageDefault	Icono por defecto 
lDialogIconsManageFavoriteName	Nombre favorito 
lDialogIconsManageNext	Siguiente 
lDialogIconsManageParentMenu	Menú principal favorito
lDialogIconsManagePrevious	Anterior 
lDialogIconsManageSetDefaultIcon	Establecer icono predeterminado
lDialogIconsManageTitle	Administrar iconos - ~1~ ~2~ 
lDialogInvalidHotkey	Con la configuración actual de la tecla de acceso directo del teclado "~1~" no se puede utilizar como un disparador para el menú emergente.`n`nPor favor, abra la "Configuración ~2~" en el área de notificación y haga clic en "Opciones". En este cuadro de diálogo, elija otra tecla de acceso directo a"~3~".
lDialogInvalidHotkeyFavorite	Con su diseño de teclado actual sistema, la tecla de acceso directo "~1~" no podría ser utilizado como un disparador para la ubicación "~2~" (nombre de la tecla no es válido).`n`nPor favor, elija otro acceso directo para la ubicación "~2~".
lDialogKeyboard	Teclado
lDialogLaunchWith	Lanzar con esta aplicación
lDialogMaximized	Maximizado
lDialogMenuNotMoveUnderItself	El menú "~1~" no se pueden mover sobre sí mismo.
lDialogMinimized	Minimizado
lDialogMouse	Ratón
lDialogMouseButtonsText	Botón izquierdo del ratón|Botón central del ratón|Botón derecho del ratón|Botón especial del ratón 1|Botón especial del ratón 2|Rueda hacia arriba|Rueda hacia abajo|Rueda Izquierda|Rueda Derecha|
lDialogMouseCheckLButton	No se puede asignar el "botón izquierdo del ratón", sin un modificador`n(like ~1~, ~2~, ~3~ or ~4~ keys).
lDialogMoveFavoritesTitle	Mueva los favoritos - ~1~ ~2~
lDialogNone	Ninguno
lDialogNormal	Normal
lDialogOff	Apagado
lDialogOK	Si
lDialogOn	Encendido
lDialogOpenThisMenu	Abrir este menú
lDialogOr	o
lDialogReadOnly	Sólo lectura
lDialogRemoveMultipleFavorites	Realmente quiere suprimir ~1~ favoritos o sub-menús?
lDialogSelectIcon	Selecionar icono
lDialogSelectItemToAdd	Seleccione la opción para agregar
lDialogSelectItemToEdit	Por favor seleccione la parte a editar.
lDialogSelectItemToMove	Por favor, Seleccione la opción para mover.
lDialogSelectItemToRemove	Por favor seleccione la parte a suprimir.
lDialogSettingsInvalid	Archivo de configuración no válido.`n`nPor favor asegúrese de que el archivo de configuración contiene secciones ~1~ y~2~.`n`nArchivo: ~3~
lDialogSettingsNotSavedPrompt	La ventana Configuración está abierta con cambios no guardados. Estos cambios deben guardarse o cancelarse antes de ejecutar la acción solicitada.`n`nQuieres:`n- "Guardar": Guardar los cambios y continuar con la acción solicitada`n- "Configuración": Cancelar la acción solicitada y regresar a la ventana Configuración`n- "Cancelar": solo cancela la acción solicitada? 
lDialogSettingsNotSavedTitle	~1~ - Configuración no guardada
lDialogShift	Cambio
lDialogShortcut	Atajo
lDialogState	Posición de la ventana:
lDialogSubmenuNameEmpty	El nombre del sub-menú está vacio. Porfavor indique un nombre corto para esta carpeta.
lDialogSubmenuParentMenu	Menú contiene este sub-menú
lDialogSwitchSettings	Elegir el archivo de configuración a utilizar
lDialogSwitchSettingsCancel	Cambio de archivo de configuración anulado...`n`nArchivo de configuración actual:`n~1~
lDialogSwitchSettingsReady	Relanzar ~2~ con el nuevo archivo de configuración:`n`n~1~
lDialogTabNext	Suite
lDialogThirdPartyDetected	~1~ hemos detectado que ~2~ está instalado en su ordenador.`n`nPorfavor active la integración con ~2~?
lDialogTriggerFor	Activar para:
lDialogUseDefaultWindowPosition	Usar posición de ventana por defecto
lDialogWin	Windows
lDialogWindowPosition	Posición de ventana:
lDialogWindowPositionDelay	Retrasar
lDialogWindowPositionH	Altura
lDialogWindowPositionLeft	Izquierda
lDialogWindowPositionMayFail	Nota: por varias razones QAP puede dejar de mover o cambiar el tamaño de algunas ventanas.
lDialogWindowPositionRight	Derecha
lDialogWindowPositionW	Ancho
lDialogWindowPositionX	Izquuierda
lDialogWindowPositionY	Arriba
lDialogWindowsFolderIconCreate	crear
lDialogWindowsFolderIconNoRoot	El icono de la carpeta de Windows no se puede establecer en el directorio raíz de la unidad (~1~).
lDialogWindowsFolderIconPrompt	Este comando abrirá ~1~ el sistema de archivos:`n~2~`n`nEl icono de la carpeta de Windows se establecerá en el icono seleccionado para este favorito. ¿Quieres continuar?
lDialogWindowsFolderIconPrompt2	Nota: Puede transcurrir desde 10-15 segundos o hasta un minuto antes que Windows agregue el nuevo icono de carpeta. 
lDialogWindowsFolderIconRemove	Eliminar icono de carpeta de Windows
lDialogWindowsFolderIconRemoveFile	Este comando puede también SUPRIMIR el archivo de sistema y restaurar la configuración por defecto del registro:`n~1~`n`nQuiere SUPRIMIR este registro de sistema?
lDialogWindowsFolderIconReset	El icono de la carpeta se restablecerá a su imagen por defecto. `n`n¿Quieres continuar?
lDialogWindowsFolderIconSet	Establecer icono carpeta Windows
lDialogWindowsFolderIconUpdate	actualización
lDialogWinShort	Win
lDialogWorkingDirLabel	Empezar con
lDonateButton	Apoyar este programa gratuito!
lDonateCheckPrompt	Es de su agrado ~1~?`n`n~1~ no sólo es gratuito, sino que también se distribuye sin basura publicitaria que nunca se sabe si son portadores de virus o spyware o malware.`n`nEs por esto ~2~ que ~1~ esta hecho para facilitar su trabajo diario. Que te parecería apoyar nuestro proyecto?
lDonateCheckPrompt2	Nota: Los usuarios que amablemente hagan una donación recibirán un CODIGO sin FIN ~1~.
lDonateCheckPrompt3	mostrar este mensaje 
lDonateCheckPrompt4	mostrar recordatorios de conación 
lDonateCheckTitle	~1~ vez! - ~2~
lDonateMenu	Apoyar este programa gratuito!
lDonatePlatformComment1	Donar con su tarjeta de crédito (No es necesario crear una cuenta) o con su cuenta de PayPal
lDonatePlatformComment2	Contribuye a mi trabajo con donaciones regulares a partir de $ 1 por mes (tarjeta de crédito o Paypal)
lDonatePlatformName1	Con Paypal
lDonatePlatformName2	Micro-donación mensual
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Apoyar el desarrollo de ~1~ !
lDonateText2	<a href="~1~">Por qué apoyar este programa gratuito?</a>
lDonateText3	... o apoyar este freeware gratis !
lDonateText4	Escribe una opinión a favor ~1~ a :
lDonateText5	Enviadme vuestro link
lDonateThankyou	Gracias por esta señal de aprecio!
lDonateTitle	Donar! - ~1~ ~2~
lGui2Close	Cerrar
lGuiAbout	Acerca de
lGuiAddFavorite	Añadir
lGuiCancel	Anular
lGuiClose	Cerrar
lGuiDonate	Donar
lGuiDropFilesHelp	Uso de arrastrar y soltar
lGuiDropFilesIncentive	Puede arrastrar y soltar los tipos de favoritos`nsiguiente en la ventana ~1~:`n`n- ~2~`n- ~3~`n- ~4~
lGuiEditFavorite	Modicar
lGuiGroupClosing	Cerrando explorador de Windows
lGuiGroupRestoreDelay	Retardo entre los favoritos para restaurar:
lGuiGroupRestoreDelayMilliseconds	milisegundos
lGuiGroupRestoreSide	Pantalla de qué lado ~1~?
lGuiGroupSaveAddWindowsLabel	Añadir a ventanas existentes
lGuiGroupSaveReplaceWindowsLabel	Reemplazar ventanas existentes
lGuiGroupSaveRestoreOption	Durante la restauración del grupo:
lGuiGroupSaveRestoreWith	Restaurar carpetas con:
lGuiHelp	Ayuda
lGuiHotkeysHelp	Ayuda con atajos favoritos
lGuiHotkeysHelpText	Abajo: Selecione siguiente favorito`nUp: Seleccione anterior favorito`n`nEnter: Editar favorito`nCtrl-N: Añadir nuevo favorito`nCtrl-C: Copiar un favorito`nDel: Borrar favorito(s)`n`nShift-Up/Down: Seleccionar favorito contiguo`nCtrl-Click: Seleccionar favorito no contiguo`nCtrl-A: Seleccionar todos los favoritos`n`nCtrl-Down: Mover favorito(s) abajo`nCtrl-Up: Mover favorito(s) arriba`n`nCtrl-Right: Abrir menú o grupo seleccionado`nCtrl-Left: Abrir menú principal
lGuiLoginName	Nombre inicio de sesión
lGuiLvFavoritesHeader	Nombre|Tipo|Localización o contenido
lGuiMove	Mover
lGuiOptions	Opciones
lGuiPassword	Contraseña
lGuiPasswordNotEncripted	Nota: La contraseña no será encriptada cuando se envía por Internet.
lGuiRemoveFavorite	Suprimir
lGuiResetDefault	Restaurar el lanzador por defecto
lGuiSave	Guardar
lGuiSaveAndClose	&Guardar`n&& Cerrar
lGuiSaveAndStay	Guardar`n&& &Recargar
lGuiSaveToUpdateBacklinks	Guardar para actualizar los vínculos de retroceso 
lGuiSubmenuDropdownLabel	Menú o grupo a editar:
lGuiTitle	Configuración - ~1~ ~2~
lHelpTabAddingFavorite	Añadiendo favoritos
lHelpTabGettingStarted	Primer paso
lHelpTabQAPFeatures	QAP Funciones
lHelpTabTipsAndTricks	Consejos y trucos
lHelpText11	Al iniciar FoldersPopup, un icono espera sus órdenes en el área de notificaciones. Cuando se desea abrir uno de sus favoritos CARPETAS, DOCUMENTOS, APLICACIONES, LINKS WEB o SITIOS FTP, Fragmentos de texto favoritos, simplemente pulse la tecla de acceso directo QAP [~1~] ó [~2~] y, en el menú emergente, selecionar el favorito deseado.
lHelpText12	Cuando se selecciona una carpeta de favoritos en el Explorador de Windows o un cuadro de diálogo de archivo*, Quick Access Popup  instantaneamente "navega" la ventana actual a esta carpeta! * Esta función debe estar habilitada en las Opciones.
lHelpText13	Para forzar la apertura de la carpeta en una ventana nueva, pulsar las teclas de acceso rápido alternativas [~1~] or [~2~]. En el menú Alternativo, seleccione "Abrir en ventana nueva", a continuación, seleccione la carpeta deseada. El menú Alternativo ofrece varias otras funcionalidades.
lHelpText14	Elija "Configuración" para personalizar el menú emergente de Quick Access Popup. Puede añadir los favoritos a su menú. Puede mover, renombrar, borrar. Puede también añadir los SUB-MENUS, de los GRUPOS o de los SUB-MENUS COMPARTIDOS. Elija "Menú o grupo para modificar:" en la lista desplegable. Clique en "Guardar" para conservar los cambios.
lHelpText21	Para añadir favoritos, en la ventana "Configuración", haga clic en el botón "Añadir". Seleccione el tipo del nuevo favorito y ver la esquina en el lado derecho de la ventana. Haga clic en "Continuar" para abrir el cuadro de diálogo "Añadir favorito".
lHelpText22	En las cuatro fichas del "Añadir favorito" cuadro de diálogo, introduzca los "Ajustes básicos", "Opciones de menú", "Opciones de Ventana" y "Configuración avanzada". Haga clic en "Añadir" para insertar el favorito en su menú y "Guardar" en la ventana Configuración.
lHelpText23	AÑADIR ESTA CARPETA`n`nPara agregar rápidamente una nueva CARPETA de favoritos al menú emergente:`n1) Ir a carpetas más usadas.`n2) Click en acceso directo QAP [~1~] o [~2~], elija el "Mi QAP Básicos" menú y clic "Añadir esta carpeta".`n3) Dar a la carpeta un nombre corto, clic "Añadir", y "Guardar" en la ventana de Configuración.
lHelpText31	En mi "Mi QAP Básicos" menú:
lHelpText32	- Pulse el "Cambiar..." menú para cambiar a cualquier otro que ejecuta ventana del explorador o aplicación.`n- Utilice el menú "Volver a abrir una carpeta" para volver a abrir una de las carpetas ya abierta en una ventana del Explorador (muy útil en los cuadros de diálogo de archivos).`n- Elija las "carpetas recientes ..." del menú para mostrar una lista actualizada de las carpetas de Windows recientes.`n- Acceder a los archivos o direcciones URL en el portapapeles con el menú "Portapapeles".`n- Haga clic en el menú "Unidades de disco" para ver la lista de unidades con el espacio de disco actual. 
lHelpText33	PERSONALIZA TU QAP FUNCIONES DEL MENU
lHelpText34	Puede mover el "Mi QAP Básico" elementos de menú al menú principal o a otros submenús como desee.`n`n1) Seleccione el menú "Ajustes" (o presione [~1~]).`n2) En el "Menú o grupo para editar:" lista desplegable, seleccione "Principal > Mi QAP Básico".`n3) Seleccione la función QAP para mover y haga clic en "Editar".`n4) En la pestaña "Opciones del menú", seleccione el nuevo menú "Dominante favorito".`n5) Salvar sus cambios.
lHelpText41	- Utilice el icono de Quick Access Popup en el menú de la bandeja (inferior derecha de la pantalla de Windows) en una de estas tres maneras: `n1) Izquierda-clic en el icono para abrir la ventana emergente menu`n2 QAP) Haga clic en el icono para abrir el QAP menu.`n3 sistema) Haga doble clic en el icono para abrir el cuadro de diálogo "Configuración".
lHelpText42	- En el menú de la bandeja, haga clic en el icono Quick Access Popup y seleccione la opción "Ejecutar al iniciar" para iniciar Quick Access Popup automáticamente en el arranque.
lHelpText43	- Configure su Quick Access Popup Acceso disparadores: elegir los botones del ratón preferidos o atajos de teclado en "Configuración, Opciones, teclas de acceso rápido de menú".
lHelpText44	- También en "Opciones": elegir su idioma preferido, el tamaño de los iconos del menú, los colores de las ventanas. Seleccione el número de carpetas recientes para mostrar, agregar accesos directos de teclado numérico para el menú de carpetas o recordatorios de acceso directo. Fijar el menú emergente en una posición fija o recordar la posición de la ventana Configuración.
